Latitude, Longitude, Elevation
28.0336058549053,86.8741174967355,5919.2646484375
28.0336060017031,86.8745170506365,5913.72900390625
28.0336061473449,86.8749166045386,5907.4306640625
28.0336062918309,86.8753161584417,5902.28173828125
28.033606435161,86.8757157123459,5898.11328125
28.0336065773352,86.8761152662512,5888.74853515625
28.0336067183535,86.8765148201575,5864.796875
28.033606858216,86.8769143740649,5844.1181640625
28.0336069969225,86.8773139279733,5828.05224609375
28.0336071344732,86.8777134818827,5812.62890625
28.0336072708679,86.8781130357932,5791.07958984375
28.0336074061068,86.8785125897046,5769.8681640625
28.0336075401898,86.8789121436171,5752.30029296875
28.0336076731169,86.8793116975305,5740.43359375
28.0336078048881,86.879711251445,5730.6201171875
28.0336079355035,86.8801108053604,5724.1552734375
28.0336080649629,86.8805103592767,5719.0927734375
28.0336081932665,86.8809099131941,5721.853515625
28.0336083204141,86.8813094671123,5729.6337890625
28.0336084464059,86.8817090210316,5731.25390625
28.0336085712418,86.8821085749517,5729.35693359375
28.0336086949218,86.8825081288728,5726.70263671875
28.0336088174459,86.8829076827948,5726.3759765625
28.0336089388142,86.8833072367177,5725.57275390625
28.0336090590265,86.8837067906414,5725.93798828125
28.033609178083,86.8841063445661,5723.57373046875
28.0336092959835,86.8845058984917,5721.55419921875
28.0336094127282,86.8849054524181,5721.3486328125
28.033609528317,86.8853050063454,5721.716796875
28.0336096427499,86.8857045602735,5723.54638671875
28.0336097560269,86.8861041142025,5723.9501953125
28.0336098681481,86.8865036681323,5725.07373046875
28.0336099791133,86.886903222063,5728.720703125
28.0336100889227,86.8873027759945,5729.5361328125
28.0336101975761,86.8877023299268,5726.8837890625
28.0336103050737,86.8881018838598,5727.10791015625
28.0336104114154,86.8885014377937,5726.8134765625
28.0336105166012,86.8889009917284,5726.740234375
28.0336106206311,86.8893005456638,5730.0263671875
28.0336107235052,86.8897000996,5733.259765625
28.0336108252233,86.890099653537,5732.88232421875
28.0336109257855,86.8904992074747,5734.349609375
28.0336110251919,86.8908987614132,5740.6328125
28.0336111234424,86.8912983153524,5749.2353515625
28.033611220537,86.8916978692923,5762.24365234375
28.0336113164757,86.892097423233,5785.455078125
28.0336114112585,86.8924969771743,5820.64013671875
28.0336115048854,86.8928965311164,5846.392578125
28.0336115973565,86.8932960850591,5871.875
28.0336116886716,86.8936956390025,5898.0810546875
28.0336117788309,86.8940951929466,5916.7919921875
28.0336118678342,86.8944947468914,5922.30517578125
28.0336119556817,86.8948943008368,5938.4521484375
28.0336120423733,86.8952938547829,5964.630859375
28.033612127909,86.8956934087296,5997.66796875
28.0336122122889,86.8960929626769,6023.01318359375
28.0336122955128,86.8964925166249,6044.06982421875
28.0336123775809,86.8968920705735,6055.41259765625
28.033612458493,86.8972916245227,6064.70458984375
28.0336125382493,86.8976911784724,6093.2119140625
28.0336126168497,86.8980907324228,6140.185546875
28.0336126942942,86.8984902863737,6178.7919921875
28.0336127705828,86.8988898403252,6210.42919921875
28.0336128457155,86.8992893942773,6238.826171875
28.0336129196923,86.89968894823,6268.349609375
28.0336129925133,86.9000885021831,6302.05517578125
28.0336130641783,86.9004880561368,6338.8525390625
28.0336131346875,86.9008876100911,6360.59765625
28.0336132040408,86.9012871640458,6389.2490234375
28.0336132722382,86.9016867180011,6440.724609375
28.0336133392797,86.9020862719569,6471.96533203125
28.0336134051653,86.9024858259131,6504.6669921875
28.033613469895,86.9028853798699,6550.013671875
28.0336135334689,86.9032849338271,6616.2861328125
28.0336135958868,86.9036844877848,6696.587890625
28.0336136571489,86.9040840417429,6747.63134765625
28.0336137172551,86.9044835957016,6772.919921875
28.0336137762053,86.9048831496606,6803.3203125
28.0336138339997,86.9052827036201,6834.38134765625
28.0336138906383,86.90568225758,6855.72216796875
28.0336139461209,86.9060818115403,6868.05322265625
28.0336140004476,86.906481365501,6873.82470703125
28.0336140536185,86.9068809194622,6882.662109375
28.0336141056334,86.9072804734237,6899.32275390625
28.0336141564925,86.9076800273856,6917.16162109375
28.0336142061957,86.9080795813478,6932.90673828125
28.033614254743,86.9084791353105,6942.66943359375
28.0336143021344,86.9088786892735,6934.15869140625
28.0336143483699,86.9092782432368,6923.18994140625
28.0336143934496,86.9096777972005,6908.12060546875
28.0336144373733,86.9100773511645,6878.61279296875
28.0336144801412,86.9104769051289,6824.54345703125
28.0336145217531,86.9108764590935,6774.1552734375
28.0336145622092,86.9112760130585,6747.61474609375
28.0336146015094,86.9116755670237,6730.306640625
28.0336146396537,86.9120751209892,6704.7333984375
28.0336146766421,86.9124746749551,6689.43603515625
28.0336147124747,86.9128742289211,6677.78955078125
28.0336147471513,86.9132737828875,6650.74560546875
28.0336147806721,86.9136733368541,6638.68798828125
28.0336148130369,86.9140728908209,6652.197265625
28.0336148442459,86.914472444788,6653.4052734375
28.033614874299,86.9148719987553,6661.458984375
28.0336149031962,86.9152715527229,6661.11572265625
28.0336149309375,86.9156711066906,6669.72509765625
28.0336149575229,86.9160706606585,6679.51953125
28.0336149829525,86.9164702146267,6688.91015625
28.0336150072261,86.916869768595,6701.78515625
28.0336150303439,86.9172693225635,6712.53173828125
28.0336150523058,86.9176688765321,6731.6748046875
28.0336150731117,86.918068430501,6744.26123046875
28.0336150927618,86.9184679844699,6753.18603515625
28.0336151112561,86.918867538439,6761.50537109375
28.0336151285944,86.9192670924083,6769.73095703125
28.0336151447768,86.9196666463776,6780.7138671875
28.0336151598033,86.9200662003471,6787.24169921875
28.033615173674,86.9204657543167,6779.814453125
28.0336151863888,86.9208653082864,6776.11474609375
