Latitude, Longitude, Elevation
-32.6082033601203,-70.0642479796447,4580.072265625
-32.6082037128453,-70.0634073482396,4567.1328125
-32.6082040599714,-70.062566716828,4582.228515625
-32.6082044014987,-70.0617260854098,4594.2470703125
-32.6082047374273,-70.0608854539854,4592.4228515625
-32.608205067757,-70.0600448225546,4580.89306640625
-32.6082053924879,-70.0592041911178,4577.00634765625
-32.60820571162,-70.0583635596748,4585.73193359375
-32.6082060251533,-70.057522928226,4616.21728515625
-32.6082063330878,-70.0566822967713,4651.44287109375
-32.6082066354235,-70.0558416653109,4696.41259765625
-32.6082069321604,-70.0550010338448,4738.0732421875
-32.6082072232985,-70.0541604023733,4776.9755859375
-32.6082075088378,-70.0533197708963,4806.3623046875
-32.6082077887782,-70.052479139414,4844.27587890625
-32.6082080631199,-70.0516385079265,4892.3076171875
-32.6082083318627,-70.0507978764339,4946.0546875
-32.6082085950068,-70.0499572449364,4987.7294921875
-32.608208852552,-70.0491166134339,5009.45703125
-32.6082091044984,-70.0482759819267,5024.6689453125
-32.608209350846,-70.0474353504148,5034.76611328125
-32.6082095915948,-70.0465947188982,5031.75390625
-32.6082098267448,-70.0457540873773,5008.49560546875
-32.608210056296,-70.044913455852,4988.1748046875
-32.6082102802484,-70.0440728243224,4977.39892578125
-32.608210498602,-70.0432321927887,4972.43115234375
-32.6082107113567,-70.0423915612509,4967.73486328125
-32.6082109185127,-70.0415509297092,4963.41845703125
-32.6082111200699,-70.0407102981636,4957.853515625
-32.6082113160282,-70.0398696666144,4954.05712890625
-32.6082115063877,-70.0390290350614,4957.4189453125
-32.6082116911484,-70.038188403505,4954.72705078125
-32.6082118703103,-70.0373477719452,4952.72900390625
-32.6082120438735,-70.036507140382,4946.1416015625
-32.6082122118378,-70.0356665088157,4925.67333984375
-32.6082123742032,-70.0348258772462,4893.55712890625
-32.6082125309699,-70.0339852456737,4854.5341796875
-32.6082126821378,-70.0331446140984,4786.43896484375
-32.6082128277068,-70.0323039825202,4706.16748046875
-32.6082129676771,-70.0314633509394,4680.03759765625
-32.6082131020485,-70.030622719356,4674.26953125
-32.6082132308211,-70.0297820877702,4672.52197265625
-32.6082133539949,-70.028941456182,4669.1884765625
-32.6082134715699,-70.0281008245915,4665.82666015625
-32.6082135835462,-70.0272601929989,4662.490234375
-32.6082136899236,-70.0264195614042,4655.61083984375
-32.6082137907021,-70.0255789298076,4649.23779296875
-32.6082138858819,-70.0247382982091,4640.47705078125
-32.6082139754629,-70.0238976666089,4626.22900390625
-32.608214059445,-70.023057035007,4620.21875
-32.6082141378283,-70.0222164034037,4640.38671875
-32.6082142106129,-70.0213757717989,4677.1455078125
-32.6082142777986,-70.0205351401928,4725.23486328125
-32.6082143393855,-70.0196945085855,4776.373046875
-32.6082143953736,-70.0188538769771,4822.0498046875
-32.6082144457629,-70.0180132453677,4859.82568359375
-32.6082144905534,-70.0171726137574,4885.01416015625
-32.608214529745,-70.0163319821463,4895.32666015625
-32.6082145633379,-70.0154913505346,4894.54052734375
-32.608214591332,-70.0146507189222,4902.69677734375
-32.6082146137272,-70.0138100873094,4922.31298828125
-32.6082146305236,-70.0129694556962,4932.869140625
-32.6082146417212,-70.0121288240828,4933.72412109375
-32.60821464732,-70.0112881924692,4945.93701171875
-32.60821464732,-70.0104475608555,4954.33642578125
-32.6082146417212,-70.0096069292419,4952.61279296875
-32.6082146305236,-70.0087662976285,4946.02099609375
-32.6082146137272,-70.0079256660153,4916.9453125
-32.608214591332,-70.0070850344025,4829.68115234375
-32.6082145633379,-70.0062444027901,4736.62353515625
-32.608214529745,-70.0054037711784,4668.84033203125
-32.6082144905534,-70.0045631395673,4605.08544921875
-32.6082144457629,-70.003722507957,4548.69970703125
-32.6082143953736,-70.0028818763476,4520.4189453125
-32.6082143393855,-70.0020412447392,4515.310546875
-32.6082142777986,-70.0012006131319,4509.1953125
-32.6082142106129,-70.0003599815258,4506.41845703125
-32.6082141378283,-69.999519349921,4516.2685546875
-32.608214059445,-69.9986787183177,4527.85791015625
-32.6082139754629,-69.9978380867158,4539.3046875
-32.6082138858819,-69.9969974551156,4579.52392578125
-32.6082137907021,-69.9961568235172,4637.978515625
-32.6082136899236,-69.9953161919205,4687.16162109375
-32.6082135835462,-69.9944755603258,4698.4736328125
-32.60821347157,-69.9936349287332,4683.14697265625
-32.6082133539949,-69.9927942971427,4679.99658203125
-32.6082132308211,-69.9919536655545,4707.2939453125
-32.6082131020485,-69.9911130339686,4745.00634765625
-32.6082129676771,-69.9902724023853,4805.5224609375
-32.6082128277068,-69.9894317708044,4841.94775390625
-32.6082126821378,-69.9885911392263,4850.6533203125
-32.6082125309699,-69.987750507651,4841.8798828125
-32.6082123742032,-69.9869098760785,4834.13427734375
-32.6082122118378,-69.9860692445091,4818.6328125
-32.6082120438735,-69.9852286129427,4792.34716796875
-32.6082118703103,-69.9843879813795,4763.4345703125
-32.6082116911484,-69.9835473498197,4756.095703125
-32.6082115063877,-69.9827067182633,4765.49560546875
-32.6082113160282,-69.9818660867104,4763.68896484375
-32.6082111200699,-69.9810254551611,4729.716796875
-32.6082109185127,-69.9801848236155,4733.53466796875
-32.6082107113567,-69.9793441920738,4761.37890625
-32.608210498602,-69.978503560536,4795.01611328125
-32.6082102802484,-69.9776629290023,4825.3447265625
-32.608210056296,-69.9768222974727,4834.71728515625
-32.6082098267448,-69.9759816659474,4843.5869140625
-32.6082095915948,-69.9751410344264,4870.45556640625
-32.608209350846,-69.9743004029099,4916.83056640625
-32.6082091044984,-69.973459771398,4970.75439453125
-32.608208852552,-69.9726191398908,4986.4833984375
-32.6082085950068,-69.9717785083883,4952.55078125
-32.6082083318627,-69.9709378768908,4896.083984375
-32.6082080631199,-69.9700972453982,4839.30224609375
-32.6082077887782,-69.9692566139107,4783.28125
-32.6082075088378,-69.9684159824284,4744.07763671875
-32.6082072232985,-69.9675753509514,4713.64794921875
-32.6082069321604,-69.9667347194799,4683.60498046875
-32.6082066354235,-69.9658940880138,4660.11328125
-32.6082063330878,-69.9650534565534,4638.91455078125
-32.6082060251533,-69.9642128250987,4622.919921875
-32.60820571162,-69.9633721936499,4613.57958984375
-32.6082053924879,-69.9625315622069,4623.67578125
-32.608205067757,-69.9616909307701,4627.02001953125
-32.6082047374273,-69.9608502993393,4632.1015625
-32.6082044014987,-69.9600096679148,4633.208984375
-32.6082040599714,-69.9591690364967,4641.20849609375
-32.6082037128453,-69.9583284050851,4664.1376953125
-32.6082033601203,-69.95748777368,4705.60302734375
-32.6089114872069,-70.0642484022157,4591.9892578125
-32.6089118399415,-70.063407764156,4582.53173828125
-32.6089121870771,-70.0625671260897,4599.736328125
-32.6089125286137,-70.0617264880169,4606.96923828125
-32.6089128645514,-70.0608858499378,4606.35693359375
-32.6089131948901,-70.0600452118524,4597.85205078125
-32.6089135196299,-70.0592045737608,4593.34130859375
-32.6089138387707,-70.0583639356633,4609.896484375
-32.6089141523126,-70.0575232975598,4650.54443359375
-32.6089144602554,-70.0566826594504,4694.1513671875
-32.6089147625994,-70.0558420213353,4743.7744140625
-32.6089150593443,-70.0550013832146,4779.2490234375
-32.6089153504904,-70.0541607450884,4831.75048828125
-32.6089156360374,-70.0533201069568,4866.15234375
-32.6089159159855,-70.0524794688198,4899.86767578125
-32.6089161903346,-70.0516388306777,4937.5263671875
-32.6089164590848,-70.0507981925305,4966.89697265625
-32.608916722236,-70.0499575543782,4972.615234375
-32.6089169797882,-70.0491169162211,4978.53564453125
-32.6089172317415,-70.0482762780592,4991.7333984375
-32.6089174780959,-70.0474356398926,4999.228515625
-32.6089177188512,-70.0465950017215,4996.15087890625
-32.6089179540076,-70.0457543635459,4977.28515625
-32.6089181835651,-70.0449137253659,4965.244140625
-32.6089184075236,-70.0440730871816,4957.1298828125
-32.6089186258831,-70.0432324489933,4952.70556640625
-32.6089188386437,-70.0423918108008,4946.78759765625
-32.6089190458052,-70.0415511726044,4938.17138671875
-32.6089192473679,-70.0407105344042,4931.2431640625
-32.6089194433316,-70.0398698962003,4933.02880859375
-32.6089196336963,-70.0390292579927,4938.69677734375
-32.608919818462,-70.0381886197816,4935.75634765625
-32.6089199976288,-70.0373479815671,4928.52587890625
-32.6089201711967,-70.0365073433493,4918.1396484375
-32.6089203391655,-70.0356667051283,4901.1484375
-32.6089205015354,-70.0348260669041,4874.89599609375
-32.6089206583064,-70.033985428677,4841.1142578125
-32.6089208094784,-70.033144790447,4780.3701171875
-32.6089209550514,-70.0323041522142,4705.9775390625
-32.6089210950254,-70.0314635139787,4683.28369140625
-32.6089212294005,-70.0306228757407,4682.77197265625
-32.6089213581767,-70.0297822375002,4680.5400390625
-32.6089214813539,-70.0289415992573,4675.8955078125
-32.6089215989321,-70.0281009610121,4672.28076171875
-32.6089217109113,-70.0272603227648,4669.134765625
-32.6089218172916,-70.0264196845155,4665.05419921875
-32.6089219180729,-70.0255790462642,4659.36669921875
-32.6089220132553,-70.024738408011,4649.98486328125
-32.6089221028387,-70.0238977697562,4636.62939453125
-32.6089221868231,-70.0230571314997,4635.2255859375
-32.6089222652086,-70.0222164932417,4665.00732421875
-32.6089223379951,-70.0213758549822,4709.18896484375
-32.6089224051827,-70.0205352167215,4755.6298828125
-32.6089224667712,-70.0196945784595,4807.69384765625
-32.6089225227609,-70.0188539401965,4856.44580078125
-32.6089225731515,-70.0180133019324,4896.07177734375
-32.6089226179432,-70.0171726636674,4925.30224609375
-32.608922657136,-70.0163320254017,4938.08251953125
-32.6089226907297,-70.0154913871352,4939.46142578125
-32.6089227187246,-70.0146507488682,4946.3310546875
-32.6089227411204,-70.0138101106007,4964.96728515625
-32.6089227579173,-70.0129694723329,4981.337890625
-32.6089227691152,-70.0121288340648,4990.19482421875
-32.6089227747142,-70.0112881957965,5009.4375
-32.6089227747142,-70.0104475575282,5019.689453125
-32.6089227691152,-70.0096069192599,5021.228515625
-32.6089227579173,-70.0087662809918,5024.63525390625
-32.6089227411204,-70.007925642724,4994.8984375
-32.6089227187246,-70.0070850044565,4900.93896484375
-32.6089226907297,-70.0062443661895,4787.6943359375
-32.608922657136,-70.005403727923,4695.7978515625
-32.6089226179432,-70.0045630896573,4623.29296875
-32.6089225731515,-70.0037224513923,4566.63134765625
-32.6089225227609,-70.0028818131283,4541.78466796875
-32.6089224667712,-70.0020411748652,4541.59228515625
-32.6089224051827,-70.0012005366032,4542.1552734375
-32.6089223379951,-70.0003598983425,4536.5126953125
-32.6089222652086,-69.999519260083,4538.99560546875
-32.6089221868231,-69.998678621825,4546.1455078125
-32.6089221028387,-69.9978379835685,4565.1982421875
-32.6089220132553,-69.9969973453137,4610.1796875
-32.6089219180729,-69.9961567070605,4660.59033203125
-32.6089218172916,-69.9953160688092,4708.25537109375
-32.6089217109113,-69.9944754305599,4731.41162109375
-32.6089215989321,-69.9936347923126,4732.09765625
-32.6089214813539,-69.9927941540674,4746.18505859375
-32.6089213581767,-69.9919535158245,4785.27587890625
-32.6089212294005,-69.991112877584,4836.03759765625
-32.6089210950254,-69.990272239346,4884.357421875
-32.6089209550514,-69.9894316011105,4910.53515625
-32.6089208094784,-69.9885909628777,4922.16162109375
-32.6089206583064,-69.9877503246477,4910.68701171875
-32.6089205015354,-69.9869096864206,4891.6533203125
-32.6089203391655,-69.9860690481964,4867.85107421875
-32.6089201711967,-69.9852284099754,4842.60302734375
-32.6089199976288,-69.9843877717576,4817.38525390625
